Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Unemployment rate,Inflation rate,GDP,Target_status
19,37,9,9,12.7,3.7,-1.7,2
1,37,9,9,12.7,3.7,-1.7,2
37,37,7,8,9.4,-0.8,-3.12,2
37,37,9,8,16.2,0.3,-0.92,2
19,37,4,7,11.1,0.6,2.02,2
3,1,2,3,12.4,0.5,1.79,3
3,19,4,5,12.7,3.7,-1.7,2
1,38,4,3,13.9,-0.3,0.79,1
38,38,9,7,9.4,-0.8,-3.12,1
38,37,7,5,9.4,-0.8,-3.12,2
38,37,9,9,11.1,0.6,2.02,1
19,19,9,8,12.7,3.7,-1.7,1
37,38,6,6,11.1,0.6,2.02,2
19,37,9,7,13.9,-0.3,0.79,2
1,38,5,6,12.4,0.5,1.79,2
19,37,9,9,10.8,1.4,1.74,2
19,37,9,9,12.7,3.7,-1.7,2
1,38,4,9,9.4,-0.8,-3.12,3
1,19,5,7,13.9,-0.3,0.79,2
38,38,191,193,12.7,3.7,-1.7,2
37,37,9,7,8.9,1.4,3.51,2
37,37,7,5,16.2,0.3,-0.92,2
37,37,9,9,12.7,3.7,-1.7,2
38,1,9,4,10.8,1.4,1.74,3
1,1,4,5,15.5,2.8,-4.06,2
1,1,3,3,12.7,3.7,-1.7,1
37,37,9,0,12.7,3.7,-1.7,1
37,37,9,9,7.6,2.6,0.32,3
37,38,4,9,7.6,2.6,0.32,3
37,38,7,7,9.4,-0.8,-3.12,3
38,38,7,7,8.9,1.4,3.51,1
19,37,9,9,7.6,2.6,0.32,3
37,1,3,5,7.6,2.6,0.32,3
19,19,9,7,10.8,1.4,1.74,2
1,19,4,3,10.8,1.4,1.74,2
1,38,5,1,9.4,-0.8,-3.12,2
19,1,5,0,16.2,0.3,-0.92,2
1,1,5,5,8.9,1.4,3.51,3
1,5,4,3,12.7,3.7,-1.7,2
38,38,6,9,13.9,-0.3,0.79,2
19,38,3,5,10.8,1.4,1.74,2
19,38,9,6,8.9,1.4,3.51,3
37,19,5,10,7.6,2.6,0.32,3
1,38,5,7,16.2,0.3,-0.92,2
1,19,5,10,12.7,3.7,-1.7,2
19,19,9,9,11.1,0.6,2.02,1
1,3,4,2,15.5,2.8,-4.06,2
19,19,194,193,11.1,0.6,2.02,3
1,19,4,1,13.9,-0.3,0.79,2
37,37,0,0,7.6,2.6,0.32,2
3,3,9,7,13.9,-0.3,0.79,2
3,3,6,6,10.8,1.4,1.74,2
37,38,5,5,10.8,1.4,1.74,1
38,38,5,7,12.4,0.5,1.79,2
1,19,4,8,12.4,0.5,1.79,1
19,37,5,7,16.2,0.3,-0.92,2
37,1,9,9,12.7,3.7,-1.7,2
37,38,90,7,7.6,2.6,0.32,1
1,19,9,7,12.4,0.5,1.79,2
19,19,3,3,12.7,3.7,-1.7,2
38,38,5,8,11.1,0.6,2.02,2
37,37,9,9,7.6,2.6,0.32,1
1,19,5,7,11.1,0.6,2.02,2
37,19,7,7,15.5,2.8,-4.06,3
37,37,0,0,10.8,1.4,1.74,1
3,3,2,5,13.9,-0.3,0.79,2
19,38,9,9,13.9,-0.3,0.79,2
1,1,4,6,12.4,0.5,1.79,2
1,1,4,5,12.7,3.7,-1.7,1
37,37,9,10,13.9,-0.3,0.79,1
37,37,9,9,15.5,2.8,-4.06,2
37,37,9,9,7.6,2.6,0.32,2
37,37,1,9,12.4,0.5,1.79,1
38,19,9,8,13.9,-0.3,0.79,2
37,1,9,2,9.4,-0.8,-3.12,2
37,37,9,7,10.8,1.4,1.74,1
37,38,9,4,15.5,2.8,-4.06,1
37,37,9,7,15.5,2.8,-4.06,2
19,19,9,3,12.7,3.7,-1.7,3
38,37,9,8,16.2,0.3,-0.92,1
2,1,2,9,10.8,1.4,1.74,2
3,1,5,5,13.9,-0.3,0.79,1
37,37,0,0,7.6,2.6,0.32,2
3,1,2,1,15.5,2.8,-4.06,3
1,38,9,1,12.4,0.5,1.79,2
37,38,5,7,13.9,-0.3,0.79,1
2,2,6,6,12.4,0.5,1.79,3
37,19,9,3,8.9,1.4,3.51,1
5,5,2,2,11.1,0.6,2.02,1
37,37,9,9,7.6,2.6,0.32,1
37,37,9,9,10.8,1.4,1.74,2
37,37,9,9,16.2,0.3,-0.92,1
19,1,4,8,10.8,1.4,1.74,2
37,37,9,6,15.5,2.8,-4.06,2
1,19,9,9,10.8,1.4,1.74,2
37,11,9,7,12.4,0.5,1.79,1
38,38,90,90,7.6,2.6,0.32,1
37,37,9,8,15.5,2.8,-4.06,1
37,37,90,90,7.6,2.6,0.32,2
3,3,2,2,10.8,1.4,1.74,2
37,37,6,6,9.4,-0.8,-3.12,2
19,37,4,10,12.7,3.7,-1.7,2
34,36,0,90,7.6,2.6,0.32,1
2,1,3,9,12.7,3.7,-1.7,1
37,37,9,9,9.4,-0.8,-3.12,3
38,1,8,10,13.9,-0.3,0.79,3
38,38,4,4,16.2,0.3,-0.92,1
19,1,3,7,11.1,0.6,2.02,3
19,38,9,5,7.6,2.6,0.32,2
37,37,90,5,10.8,1.4,1.74,1
37,26,90,10,10.8,1.4,1.74,1
37,38,9,7,13.9,-0.3,0.79,2
12,5,3,3,11.1,0.6,2.02,2
37,37,9,9,11.1,0.6,2.02,1
19,1,4,7,7.6,2.6,0.32,2
3,2,2,2,13.9,-0.3,0.79,3
19,37,9,9,13.9,-0.3,0.79,1
2,1,4,6,13.9,-0.3,0.79,2
1,19,6,6,13.9,-0.3,0.79,2
19,37,4,7,9.4,-0.8,-3.12,2
37,37,6,7,16.2,0.3,-0.92,1
3,3,4,10,11.1,0.6,2.02,2
3,37,3,7,13.9,-0.3,0.79,3
37,37,5,7,7.6,2.6,0.32,1
1,3,3,7,8.9,1.4,3.51,3
1,19,8,8,8.9,1.4,3.51,1
19,19,9,7,12.4,0.5,1.79,1
3,3,2,2,8.9,1.4,3.51,2
3,3,3,3,12.4,0.5,1.79,1
1,19,4,8,12.7,3.7,-1.7,1
1,1,9,9,9.4,-0.8,-3.12,2
1,1,4,5,15.5,2.8,-4.06,1
1,19,4,4,8.9,1.4,3.51,1
38,38,9,6,15.5,2.8,-4.06,2
1,1,90,3,7.6,2.6,0.32,1
1,1,5,3,16.2,0.3,-0.92,2
38,37,5,5,9.4,-0.8,-3.12,2
37,37,9,9,12.7,3.7,-1.7,2
37,37,3,3,9.4,-0.8,-3.12,2
19,37,7,9,10.8,1.4,1.74,1
37,37,9,9,12.4,0.5,1.79,2
1,19,4,5,15.5,2.8,-4.06,1
1,1,9,5,8.9,1.4,3.51,1
37,2,9,4,7.6,2.6,0.32,1
1,1,3,3,12.4,0.5,1.79,2
37,37,9,9,9.4,-0.8,-3.12,2
3,3,2,2,15.5,2.8,-4.06,2
3,19,1,10,16.2,0.3,-0.92,3
37,37,9,9,9.4,-0.8,-3.12,2
1,3,192,3,11.1,0.6,2.02,3
1,1,5,5,12.4,0.5,1.79,2
38,38,5,10,12.4,0.5,1.79,3
1,1,4,4,10.8,1.4,1.74,3
1,37,4,1,12.4,0.5,1.79,2
37,37,9,7,8.9,1.4,3.51,2
19,19,5,5,10.8,1.4,1.74,2
1,1,9,9,11.1,0.6,2.02,2
1,19,5,5,12.4,0.5,1.79,1
1,19,4,9,15.5,2.8,-4.06,3
38,1,4,10,9.4,-0.8,-3.12,2
3,1,2,8,12.4,0.5,1.79,3
1,1,4,7,13.9,-0.3,0.79,1
2,1,4,4,12.4,0.5,1.79,2
3,2,4,2,8.9,1.4,3.51,1
3,3,132,132,11.1,0.6,2.02,3
1,19,5,5,16.2,0.3,-0.92,2
38,38,7,7,8.9,1.4,3.51,2
1,1,5,4,15.5,2.8,-4.06,1
19,37,3,8,15.5,2.8,-4.06,2
3,3,1,3,9.4,-0.8,-3.12,3
1,34,9,9,12.4,0.5,1.79,2
1,1,1,1,11.1,0.6,2.02,2
3,3,1,2,12.7,3.7,-1.7,2
3,1,4,5,10.8,1.4,1.74,2
37,37,0,90,7.6,2.6,0.32,1
19,1,5,4,12.7,3.7,-1.7,2
1,19,9,9,11.1,0.6,2.02,2
3,3,2,2,15.5,2.8,-4.06,1
1,40,9,2,11.1,0.6,2.02,2
3,1,2,5,8.9,1.4,3.51,2
19,19,3,3,12.4,0.5,1.79,2
38,38,5,8,8.9,1.4,3.51,2
1,1,9,8,12.4,0.5,1.79,2
1,1,4,8,11.1,0.6,2.02,2
1,37,9,9,8.9,1.4,3.51,2
3,1,3,7,10.8,1.4,1.74,3
40,19,3,5,8.9,1.4,3.51,3
19,1,9,8,11.1,0.6,2.02,1
19,19,5,5,8.9,1.4,3.51,2
38,38,9,9,11.1,0.6,2.02,2
1,3,5,3,11.1,0.6,2.02,2
19,1,9,3,11.1,0.6,2.02,3
1,38,3,5,16.2,0.3,-0.92,2
3,3,2,10,11.1,0.6,2.02,3
1,3,4,7,8.9,1.4,3.51,1
3,1,9,3,12.4,0.5,1.79,3
1,1,9,4,12.4,0.5,1.79,1
19,38,5,7,11.1,0.6,2.02,2
19,38,9,9,11.1,0.6,2.02,2
3,4,3,3,11.1,0.6,2.02,2
19,3,4,4,11.1,0.6,2.02,2
1,1,4,4,11.1,0.6,2.02,3
1,37,4,5,10.8,1.4,1.74,3
1,1,4,4,12.4,0.5,1.79,2
19,37,3,5,11.1,0.6,2.02,3
34,37,9,90,7.6,2.6,0.32,2
19,19,9,9,13.9,-0.3,0.79,2
12,19,9,3,13.9,-0.3,0.79,2
1,19,4,7,12.4,0.5,1.79,3
19,19,9,9,12.4,0.5,1.79,2
1,1,9,9,11.1,0.6,2.02,2
1,3,4,3,8.9,1.4,3.51,2
1,1,5,7,11.1,0.6,2.02,1
1,3,9,7,11.1,0.6,2.02,2
19,19,4,5,9.4,-0.8,-3.12,2
3,19,3,5,15.5,2.8,-4.06,1
39,3,3,3,13.9,-0.3,0.79,1
34,34,0,0,7.6,2.6,0.32,1
1,3,9,2,10.8,1.4,1.74,3
37,37,9,6,16.2,0.3,-0.92,1
37,37,90,5,7.6,2.6,0.32,1
3,1,3,4,8.9,1.4,3.51,3
3,3,3,4,8.9,1.4,3.51,1
1,37,152,193,8.9,1.4,3.51,3
3,1,2,8,12.7,3.7,-1.7,1
38,1,3,10,9.4,-0.8,-3.12,2
3,3,9,9,8.9,1.4,3.51,1
3,1,3,4,8.9,1.4,3.51,3
3,34,3,0,9.4,-0.8,-3.12,1
37,38,9,5,7.6,2.6,0.32,2
38,34,9,9,9.4,-0.8,-3.12,2
37,37,9,8,9.4,-0.8,-3.12,1
1,1,194,131,12.4,0.5,1.79,2
19,19,9,9,11.1,0.6,2.02,2
1,1,2,5,10.8,1.4,1.74,3
1,19,4,4,11.1,0.6,2.02,2
3,3,1,1,15.5,2.8,-4.06,2
19,19,4,5,12.7,3.7,-1.7,3
19,19,9,9,10.8,1.4,1.74,2
1,19,9,9,12.7,3.7,-1.7,2
19,19,5,5,9.4,-0.8,-3.12,3
1,39,4,1,16.2,0.3,-0.92,1
1,19,4,3,10.8,1.4,1.74,1
37,1,9,10,11.1,0.6,2.02,1
19,37,4,6,7.6,2.6,0.32,1
34,38,0,3,7.6,2.6,0.32,1
1,2,5,4,13.9,-0.3,0.79,1
19,38,9,9,9.4,-0.8,-3.12,1
1,19,5,8,12.4,0.5,1.79,1
38,19,9,8,13.9,-0.3,0.79,1
1,1,5,4,12.4,0.5,1.79,1
1,1,4,10,12.4,0.5,1.79,2
1,38,90,90,10.8,1.4,1.74,1
37,38,3,7,12.4,0.5,1.79,1
19,19,4,5,16.2,0.3,-0.92,2
19,1,9,7,9.4,-0.8,-3.12,2
1,1,191,193,8.9,1.4,3.51,2
34,34,0,0,9.4,-0.8,-3.12,1
19,19,5,5,16.2,0.3,-0.92,2
1,1,1,1,16.2,0.3,-0.92,3
1,19,194,194,8.9,1.4,3.51,2
38,38,9,9,15.5,2.8,-4.06,2
38,19,9,9,15.5,2.8,-4.06,1
19,19,4,5,15.5,2.8,-4.06,1
19,19,7,10,9.4,-0.8,-3.12,2
19,1,9,3,16.2,0.3,-0.92,1
38,38,9,8,12.4,0.5,1.79,2
3,2,2,5,9.4,-0.8,-3.12,2
19,37,9,6,16.2,0.3,-0.92,1
37,37,4,7,16.2,0.3,-0.92,1
2,38,4,9,10.8,1.4,1.74,2
34,34,0,0,7.6,2.6,0.32,2
38,14,0,0,7.6,2.6,0.32,2
37,37,9,7,9.4,-0.8,-3.12,2
19,19,4,7,13.9,-0.3,0.79,2
38,38,9,5,10.8,1.4,1.74,2
1,19,9,9,10.8,1.4,1.74,2
37,38,175,193,16.2,0.3,-0.92,1
37,37,9,9,12.7,3.7,-1.7,2
37,12,9,4,9.4,-0.8,-3.12,1
1,1,4,7,15.5,2.8,-4.06,2
1,37,4,9,15.5,2.8,-4.06,1
37,37,5,5,7.6,2.6,0.32,2
19,37,5,9,15.5,2.8,-4.06,2
38,19,9,5,7.6,2.6,0.32,3
19,19,7,7,13.9,-0.3,0.79,2
19,19,9,7,10.8,1.4,1.74,1
38,38,5,5,10.8,1.4,1.74,2
37,38,7,7,9.4,-0.8,-3.12,2
37,1,9,4,7.6,2.6,0.32,2
19,19,9,9,12.7,3.7,-1.7,1
1,1,5,5,12.4,0.5,1.79,2
1,1,7,7,16.2,0.3,-0.92,1
19,38,7,6,12.7,3.7,-1.7,2
19,1,5,5,9.4,-0.8,-3.12,3
38,19,7,10,15.5,2.8,-4.06,1
37,37,9,5,7.6,2.6,0.32,2
19,1,5,4,10.8,1.4,1.74,2
37,37,9,9,12.7,3.7,-1.7,1
37,37,9,7,8.9,1.4,3.51,2
37,37,9,6,13.9,-0.3,0.79,1
19,19,4,5,12.4,0.5,1.79,2
34,34,90,90,7.6,2.6,0.32,1
37,37,8,10,9.4,-0.8,-3.12,1
37,38,9,4,15.5,2.8,-4.06,2
37,1,9,7,13.9,-0.3,0.79,2
37,37,9,3,10.8,1.4,1.74,2
37,37,9,9,10.8,1.4,1.74,2
1,3,4,2,9.4,-0.8,-3.12,1
37,37,9,6,16.2,0.3,-0.92,1
37,37,9,9,12.7,3.7,-1.7,3
37,37,9,7,7.6,2.6,0.32,2
19,20,4,90,10.8,1.4,1.74,1
37,37,6,8,13.9,-0.3,0.79,3
37,19,191,163,8.9,1.4,3.51,3
19,37,0,0,7.6,2.6,0.32,1
37,38,7,7,7.6,2.6,0.32,3
19,38,9,9,12.4,0.5,1.79,2
37,37,7,7,13.9,-0.3,0.79,2
37,37,9,9,7.6,2.6,0.32,1
3,1,2,5,10.8,1.4,1.74,3
1,1,3,3,8.9,1.4,3.51,2
38,38,9,9,13.9,-0.3,0.79,1
37,37,6,6,9.4,-0.8,-3.12,3
19,38,4,10,7.6,2.6,0.32,3
37,37,90,7,9.4,-0.8,-3.12,1
19,19,5,5,12.4,0.5,1.79,2
37,19,9,4,16.2,0.3,-0.92,2
37,37,9,9,9.4,-0.8,-3.12,3
1,19,9,10,15.5,2.8,-4.06,1
37,37,9,7,12.4,0.5,1.79,2
37,37,7,7,11.1,0.6,2.02,2
3,19,3,3,16.2,0.3,-0.92,2
3,5,0,2,7.6,2.6,0.32,1
34,34,0,0,7.6,2.6,0.32,2
37,3,9,2,15.5,2.8,-4.06,1
37,37,9,9,7.6,2.6,0.32,2
37,37,9,9,12.4,0.5,1.79,1
1,19,4,8,12.4,0.5,1.79,2
19,1,1,10,9.4,-0.8,-3.12,1
3,1,2,9,7.6,2.6,0.32,1
1,1,4,90,7.6,2.6,0.32,1
19,37,9,9,16.2,0.3,-0.92,2
38,1,9,4,12.4,0.5,1.79,2
1,19,5,5,16.2,0.3,-0.92,2
14,11,0,0,7.6,2.6,0.32,1
34,34,0,0,7.6,2.6,0.32,1
37,37,9,9,9.4,-0.8,-3.12,2
3,1,2,4,7.6,2.6,0.32,2
38,38,5,5,7.6,2.6,0.32,3
1,3,3,7,12.4,0.5,1.79,2
4,1,2,8,8.9,1.4,3.51,2
19,37,9,5,12.4,0.5,1.79,1
37,19,9,10,13.9,-0.3,0.79,1
34,34,0,0,7.6,2.6,0.32,1
1,38,3,5,15.5,2.8,-4.06,3
34,34,0,0,7.6,2.6,0.32,2
37,38,7,3,7.6,2.6,0.32,1
37,37,7,7,9.4,-0.8,-3.12,1
37,37,7,7,13.9,-0.3,0.79,2
37,19,9,3,16.2,0.3,-0.92,2
1,19,9,3,8.9,1.4,3.51,3
38,38,9,8,7.6,2.6,0.32,2
19,19,192,144,10.8,1.4,1.74,2
19,37,7,5,10.8,1.4,1.74,1
1,38,9,6,15.5,2.8,-4.06,2
35,35,6,6,7.6,2.6,0.32,1
19,19,4,4,8.9,1.4,3.51,3
1,38,4,5,12.7,3.7,-1.7,2
38,38,9,3,13.9,-0.3,0.79,3
1,1,2,10,7.6,2.6,0.32,1
19,19,3,3,12.7,3.7,-1.7,2
1,1,4,6,16.2,0.3,-0.92,2
1,1,5,0,7.6,2.6,0.32,1
2,2,3,4,11.1,0.6,2.02,1
19,38,9,1,12.4,0.5,1.79,1
1,3,9,2,16.2,0.3,-0.92,2
3,3,2,2,12.4,0.5,1.79,2
1,3,3,3,11.1,0.6,2.02,1
3,19,4,9,12.4,0.5,1.79,2
37,37,191,192,12.7,3.7,-1.7,2
37,37,9,8,12.7,3.7,-1.7,2
3,1,134,135,12.4,0.5,1.79,3
19,1,6,4,12.4,0.5,1.79,3
1,19,3,3,11.1,0.6,2.02,2
34,34,0,0,7.6,2.6,0.32,1
38,1,5,5,15.5,2.8,-4.06,1
19,38,9,9,8.9,1.4,3.51,1
3,4,2,5,11.1,0.6,2.02,2
19,19,7,7,12.4,0.5,1.79,2
1,3,3,4,11.1,0.6,2.02,1
3,19,5,5,12.7,3.7,-1.7,2
37,37,9,6,12.7,3.7,-1.7,2
37,37,9,10,8.9,1.4,3.51,2
19,37,5,5,12.7,3.7,-1.7,2
1,38,3,3,11.1,0.6,2.02,2
19,19,9,10,15.5,2.8,-4.06,2
19,1,4,3,16.2,0.3,-0.92,2
1,38,4,5,12.7,3.7,-1.7,2
19,1,4,5,11.1,0.6,2.02,1
37,38,191,143,8.9,1.4,3.51,2
19,19,9,8,12.4,0.5,1.79,2
37,1,9,9,11.1,0.6,2.02,1
3,1,3,5,11.1,0.6,2.02,2
19,37,9,99,12.7,3.7,-1.7,1
1,1,4,9,15.5,2.8,-4.06,2
1,38,4,7,9.4,-0.8,-3.12,2
19,1,4,9,11.1,0.6,2.02,2
41,3,2,2,10.8,1.4,1.74,2
38,38,9,9,11.1,0.6,2.02,2
38,38,191,171,8.9,1.4,3.51,2
1,19,4,90,7.6,2.6,0.32,1
30,19,4,90,7.6,2.6,0.32,2
19,37,9,9,8.9,1.4,3.51,2
19,19,9,4,13.9,-0.3,0.79,2
1,1,9,9,12.7,3.7,-1.7,2
1,19,4,3,13.9,-0.3,0.79,2
19,37,5,7,15.5,2.8,-4.06,3
37,37,8,8,13.9,-0.3,0.79,2
1,37,9,9,10.8,1.4,1.74,2
38,19,7,7,12.4,0.5,1.79,1
1,38,9,7,11.1,0.6,2.02,3
1,38,9,7,11.1,0.6,2.02,1
1,3,4,2,10.8,1.4,1.74,2
1,38,4,9,13.9,-0.3,0.79,2
3,1,2,5,15.5,2.8,-4.06,3
1,19,4,5,16.2,0.3,-0.92,2
37,37,9,7,10.8,1.4,1.74,2
37,37,9,6,9.4,-0.8,-3.12,2
38,38,9,9,15.5,2.8,-4.06,2
19,19,4,7,13.9,-0.3,0.79,2
1,19,4,9,12.4,0.5,1.79,1
3,38,2,10,10.8,1.4,1.74,1
2,1,4,4,10.8,1.4,1.74,2
1,19,9,6,11.1,0.6,2.02,2
38,38,5,5,12.4,0.5,1.79,2
1,38,4,8,13.9,-0.3,0.79,2
19,37,4,7,13.9,-0.3,0.79,2
3,3,4,5,13.9,-0.3,0.79,1
3,3,2,2,12.4,0.5,1.79,2
37,37,9,7,13.9,-0.3,0.79,2
19,19,5,7,12.4,0.5,1.79,2
1,37,4,4,11.1,0.6,2.02,1
1,38,1,7,7.6,2.6,0.32,2
1,19,1,5,9.4,-0.8,-3.12,1
19,19,4,10,12.7,3.7,-1.7,2
1,19,5,5,8.9,1.4,3.51,1
19,19,7,7,15.5,2.8,-4.06,1
37,11,9,10,11.1,0.6,2.02,2
19,1,4,4,9.4,-0.8,-3.12,2
19,1,5,10,9.4,-0.8,-3.12,3
19,1,5,10,13.9,-0.3,0.79,1
38,37,5,6,7.6,2.6,0.32,2
37,38,3,3,15.5,2.8,-4.06,2
1,19,9,8,13.9,-0.3,0.79,2
19,19,9,9,12.4,0.5,1.79,2
1,1,4,4,9.4,-0.8,-3.12,2
19,19,8,8,12.4,0.5,1.79,2
38,37,5,5,9.4,-0.8,-3.12,3
3,3,1,90,7.6,2.6,0.32,2
37,37,9,5,9.4,-0.8,-3.12,2
19,19,4,7,11.1,0.6,2.02,2
19,38,9,9,15.5,2.8,-4.06,1
37,37,5,9,7.6,2.6,0.32,1
3,1,2,3,13.9,-0.3,0.79,1
1,37,4,9,12.4,0.5,1.79,2
1,19,4,0,11.1,0.6,2.02,2
19,19,9,9,12.4,0.5,1.79,2
5,1,2,10,8.9,1.4,3.51,3
1,19,9,4,11.1,0.6,2.02,2
19,1,9,3,13.9,-0.3,0.79,2
3,1,2,1,15.5,2.8,-4.06,1
12,38,9,5,8.9,1.4,3.51,2
38,19,132,103,16.2,0.3,-0.92,2
1,1,4,0,13.9,-0.3,0.79,3
19,19,5,7,15.5,2.8,-4.06,3
1,1,4,5,7.6,2.6,0.32,2
19,19,5,8,8.9,1.4,3.51,1
37,38,0,7,7.6,2.6,0.32,2
19,19,4,4,15.5,2.8,-4.06,1
19,1,9,9,12.4,0.5,1.79,2
37,37,9,9,15.5,2.8,-4.06,1
12,3,5,8,10.8,1.4,1.74,1
37,38,9,9,9.4,-0.8,-3.12,2
1,4,5,3,10.8,1.4,1.74,2
19,37,1,9,9.4,-0.8,-3.12,2
19,19,9,9,9.4,-0.8,-3.12,1
19,19,9,9,9.4,-0.8,-3.12,1
38,38,7,5,10.8,1.4,1.74,3
3,19,9,9,7.6,2.6,0.32,3
19,19,0,5,7.6,2.6,0.32,2
37,38,9,9,10.8,1.4,1.74,1
34,34,0,0,9.4,-0.8,-3.12,1
38,19,8,8,15.5,2.8,-4.06,2
19,37,5,9,8.9,1.4,3.51,1
19,36,90,7,7.6,2.6,0.32,2
38,38,6,6,12.4,0.5,1.79,2
1,19,6,7,12.4,0.5,1.79,2
38,19,9,7,11.1,0.6,2.02,3
38,38,3,3,15.5,2.8,-4.06,3
19,19,9,7,15.5,2.8,-4.06,2
38,37,9,7,9.4,-0.8,-3.12,2
3,38,1,9,10.8,1.4,1.74,1
38,19,9,5,13.9,-0.3,0.79,2
37,37,9,9,12.4,0.5,1.79,3
19,38,5,9,7.6,2.6,0.32,2
38,19,9,9,9.4,-0.8,-3.12,3
1,1,5,5,7.6,2.6,0.32,2
1,19,4,8,15.5,2.8,-4.06,2
37,38,9,9,15.5,2.8,-4.06,2
38,37,9,9,16.2,0.3,-0.92,2
37,38,9,9,9.4,-0.8,-3.12,2
3,37,2,10,15.5,2.8,-4.06,2
37,38,9,9,10.8,1.4,1.74,2
37,37,9,6,12.4,0.5,1.79,2
37,38,5,8,12.7,3.7,-1.7,2
19,37,7,7,9.4,-0.8,-3.12,2
1,2,9,3,12.7,3.7,-1.7,2
37,37,194,171,12.4,0.5,1.79,3
19,1,9,5,13.9,-0.3,0.79,2
37,37,5,6,15.5,2.8,-4.06,1
37,37,5,6,12.4,0.5,1.79,1
37,38,9,9,10.8,1.4,1.74,2
1,38,4,9,10.8,1.4,1.74,1
38,37,3,3,10.8,1.4,1.74,2
19,19,4,6,15.5,2.8,-4.06,2
38,19,5,6,15.5,2.8,-4.06,2
19,38,7,9,12.7,3.7,-1.7,3
1,1,2,2,7.6,2.6,0.32,1
19,19,9,5,12.7,3.7,-1.7,2
37,37,9,9,10.8,1.4,1.74,3
19,11,0,0,7.6,2.6,0.32,2
19,38,4,5,7.6,2.6,0.32,3
19,38,5,7,8.9,1.4,3.51,2
1,1,9,0,13.9,-0.3,0.79,3
19,19,4,4,12.7,3.7,-1.7,2
12,19,4,5,8.9,1.4,3.51,2
37,37,9,1,15.5,2.8,-4.06,1
1,19,3,5,10.8,1.4,1.74,3
38,1,9,4,16.2,0.3,-0.92,3
1,37,7,7,10.8,1.4,1.74,2
1,2,10,10,8.9,1.4,3.51,3
38,37,9,7,10.8,1.4,1.74,1
38,37,9,7,8.9,1.4,3.51,2
1,37,9,7,15.5,2.8,-4.06,2
19,19,3,9,11.1,0.6,2.02,2
37,37,9,9,7.6,2.6,0.32,2
37,37,3,3,12.4,0.5,1.79,3
38,1,9,5,10.8,1.4,1.74,2
37,37,3,4,15.5,2.8,-4.06,2
37,37,9,9,16.2,0.3,-0.92,1
19,37,5,9,12.4,0.5,1.79,2
3,37,9,9,12.7,3.7,-1.7,1
19,19,0,0,7.6,2.6,0.32,2
3,1,2,7,15.5,2.8,-4.06,1
19,37,5,7,9.4,-0.8,-3.12,2
38,19,5,7,12.4,0.5,1.79,2
1,19,4,3,10.8,1.4,1.74,2
34,34,0,0,10.8,1.4,1.74,1
1,1,4,10,12.4,0.5,1.79,3
1,37,9,9,12.7,3.7,-1.7,2
19,1,5,5,16.2,0.3,-0.92,1
37,37,5,6,9.4,-0.8,-3.12,2
2,1,9,1,16.2,0.3,-0.92,2
37,37,9,9,16.2,0.3,-0.92,1
38,37,9,9,12.7,3.7,-1.7,2
37,37,9,9,16.2,0.3,-0.92,1
1,1,9,9,12.7,3.7,-1.7,2
19,19,5,5,12.4,0.5,1.79,2
19,38,9,9,8.9,1.4,3.51,1
19,38,192,192,11.1,0.6,2.02,3
19,19,9,9,16.2,0.3,-0.92,2
37,19,9,7,13.9,-0.3,0.79,3
37,37,9,7,7.6,2.6,0.32,1
19,1,5,7,13.9,-0.3,0.79,2
1,19,4,4,11.1,0.6,2.02,2
34,34,0,0,10.8,1.4,1.74,1
1,1,4,4,10.8,1.4,1.74,2
19,19,7,7,13.9,-0.3,0.79,2
1,1,3,6,13.9,-0.3,0.79,2
38,37,9,9,15.5,2.8,-4.06,2
19,19,4,7,13.9,-0.3,0.79,3
37,2,9,3,10.8,1.4,1.74,1
1,37,5,5,12.7,3.7,-1.7,1
1,19,4,4,10.8,1.4,1.74,2
1,19,5,5,12.4,0.5,1.79,2
1,19,4,4,11.1,0.6,2.02,2
37,37,4,8,9.4,-0.8,-3.12,2
19,37,9,7,10.8,1.4,1.74,1
1,38,194,163,8.9,1.4,3.51,2
34,34,0,0,9.4,-0.8,-3.12,1
38,38,1,9,10.8,1.4,1.74,2
37,34,90,0,7.6,2.6,0.32,2
19,37,9,10,16.2,0.3,-0.92,3
37,38,0,5,12.7,3.7,-1.7,1
37,37,9,9,8.9,1.4,3.51,1
37,37,9,9,10.8,1.4,1.74,1
1,1,9,9,15.5,2.8,-4.06,3
38,1,9,4,9.4,-0.8,-3.12,2
37,37,0,0,7.6,2.6,0.32,2
19,19,7,9,12.4,0.5,1.79,3
3,38,3,7,16.2,0.3,-0.92,2
19,19,5,8,16.2,0.3,-0.92,2
19,37,7,6,12.4,0.5,1.79,2
1,1,4,10,10.8,1.4,1.74,2
19,38,9,7,13.9,-0.3,0.79,2
39,1,3,4,12.4,0.5,1.79,1
19,1,9,5,11.1,0.6,2.02,2
19,39,5,3,16.2,0.3,-0.92,1
1,19,1,5,9.4,-0.8,-3.12,2
19,38,7,7,9.4,-0.8,-3.12,2
38,38,7,7,12.7,3.7,-1.7,2
9,19,4,3,7.6,2.6,0.32,2
38,38,5,7,9.4,-0.8,-3.12,2
38,38,4,8,9.4,-0.8,-3.12,2
1,1,4,3,8.9,1.4,3.51,3
19,38,5,6,12.7,3.7,-1.7,2
1,19,4,4,9.4,-0.8,-3.12,2
