Application mode,Application order,Course,Previous qualification,Previous qualification (grade),Admission grade,Target_status
39,2,9147,1,130.0,140.0,2
39,1,9130,1,140.0,150.0,1
17,2,9670,1,110.0,115.6,2
43,1,9773,1,140.0,116.9,3
17,2,9254,1,130.0,123.4,1
1,1,171,1,137.0,146.5,3
51,1,9773,1,158.0,117.1,1
1,1,9070,1,124.0,113.9,1
1,1,9254,1,136.0,128.7,2
17,3,9500,1,142.0,132.9,1
39,1,9991,1,150.0,123.0,1
39,1,9773,12,120.0,129.8,2
43,1,9003,1,149.0,156.1,1
51,1,9003,39,130.0,120.0,1
43,1,9085,1,110.0,117.2,2
39,1,9670,6,133.1,107.0,1
1,2,9500,1,134.0,128.4,2
1,2,9670,1,130.0,123.4,2
1,1,9070,1,141.0,126.7,2
42,1,9500,1,123.0,123.0,2
39,1,9991,19,133.1,137.2,1
1,3,9070,1,122.0,125.9,2
1,4,171,1,132.0,138.0,1
15,1,9670,1,133.1,128.2,1
43,1,9991,1,130.0,126.5,1
1,1,9254,1,111.0,112.4,2
43,2,9147,1,133.1,109.0,2
17,1,9003,1,125.0,100.0,2
5,1,171,1,137.0,144.7,3
43,3,8014,19,100.0,120.0,2
15,1,9147,1,133.1,100.0,3
44,1,8014,39,150.0,154.0,2
1,4,9147,1,120.0,111.3,3
44,1,9130,39,150.0,150.0,3
7,1,9991,40,133.1,100.0,2
39,1,8014,1,133.1,162.5,2
17,5,9670,1,132.0,134.1,2
1,1,9085,1,134.0,133.0,2
17,6,9773,1,126.0,119.0,1
1,3,9500,1,136.0,131.1,3
1,2,9238,1,129.0,129.4,2
1,1,9085,1,126.0,123.9,3
44,1,9085,39,140.0,140.0,1
43,1,9085,1,162.0,162.0,2
1,1,171,1,148.0,131.6,1
17,1,9853,1,119.0,110.6,3
17,3,9773,1,123.0,117.4,2
17,1,9773,1,150.0,137.8,2
17,1,9670,1,113.0,106.7,1
1,1,9500,1,152.0,156.9,2
1,3,9500,1,154.0,129.0,3
1,2,9773,1,130.0,124.8,2
1,1,9238,1,121.0,115.1,2
1,1,9070,1,153.0,146.7,2
1,1,9500,1,148.0,132.8,2
5,3,9085,1,143.0,159.1,1
17,3,171,1,147.0,137.6,2
17,1,9773,1,138.0,124.0,2
39,1,9500,1,120.0,149.0,1
17,1,9238,1,145.0,129.6,2
17,3,9238,1,118.0,110.0,2
1,3,9773,1,121.0,116.1,2
1,3,9773,1,135.0,133.3,2
44,1,9070,1,140.0,144.3,2
18,3,9500,1,145.0,133.6,2
1,1,9130,1,133.0,123.2,2
1,1,9853,1,127.0,137.2,3
53,1,9070,42,130.0,130.0,3
1,2,9238,1,117.0,110.0,1
17,4,9147,1,125.0,118.0,2
1,1,9773,1,141.0,128.4,2
1,3,9853,1,122.0,113.6,2
17,2,9147,1,118.0,113.5,3
17,3,9070,1,142.0,146.9,2
1,1,9130,1,143.0,141.3,3
1,4,9773,1,143.0,129.7,1
1,5,9070,1,123.0,121.3,3
1,1,9238,1,115.0,109.1,1
17,2,9853,1,112.0,107.1,2
17,1,9500,1,135.0,129.2,2
1,1,9500,1,162.0,154.1,2
1,1,9853,1,143.0,147.2,2
51,1,9147,1,130.0,120.0,3
17,1,9070,1,136.0,130.8,3
16,1,9070,1,125.0,120.8,2
17,2,9500,1,132.0,125.4,3
1,1,8014,1,123.0,121.3,2
1,1,9147,1,142.0,127.0,2
1,3,171,1,147.0,151.6,2
1,1,9085,1,140.0,131.6,3
1,2,9238,1,133.1,106.0,2
18,4,9773,1,114.0,111.6,2
17,3,9670,1,125.0,117.3,2
17,1,9853,1,127.0,121.4,1
1,3,9070,1,132.0,126.1,2
1,4,9500,1,148.0,137.0,2
43,1,9670,1,139.0,120.8,1
17,1,9254,1,136.0,128.7,1
39,1,9238,9,133.1,118.0,1
43,1,9130,1,120.0,120.0,3
39,1,9130,1,130.0,160.0,1
39,1,9119,1,110.0,150.0,1
1,3,9119,1,133.0,121.8,3
17,3,9119,1,138.0,125.4,1
51,1,9556,1,131.0,126.6,3
44,1,9130,39,150.0,150.0,1
1,1,9147,1,125.0,114.5,2
1,1,9147,1,108.0,107.0,1
17,1,9147,1,116.0,115.7,3
39,1,9130,1,133.1,120.0,1
1,3,9500,1,147.0,134.8,2
1,1,9238,1,143.0,133.6,2
1,1,171,1,115.0,129.0,1
39,1,9991,1,160.0,128.4,2
17,1,9147,1,118.0,122.2,2
1,1,9085,1,122.0,113.3,3
17,6,9500,1,143.0,129.9,2
1,6,9500,1,133.0,126.2,2
5,2,9853,1,122.0,112.6,3
1,1,9238,1,164.0,149.0,2
39,1,9500,1,133.1,120.0,2
17,4,9119,1,127.0,120.4,3
1,3,9773,1,140.0,128.1,1
1,1,9238,1,127.0,141.7,1
39,1,9003,12,133.1,130.0,1
5,4,9119,1,115.0,113.3,1
1,1,9773,1,108.0,105.9,1
18,2,9119,1,136.0,122.7,1
39,2,9147,12,133.1,120.0,1
44,1,9070,39,120.0,119.8,1
39,1,9670,1,133.1,122.9,1
44,1,9085,39,160.0,160.0,1
1,4,9500,1,128.0,125.2,2
39,1,9119,3,130.0,143.4,1
39,1,9119,19,133.1,96.7,1
18,1,9254,1,137.0,126.9,2
1,1,171,1,163.0,143.1,2
1,1,9254,1,125.0,114.5,2
39,1,9119,1,120.0,140.0,1
42,1,9991,1,150.0,113.7,2
1,1,9556,1,135.0,131.5,3
1,1,9003,1,148.0,143.5,2
1,1,9500,1,138.0,126.8,2
17,1,9070,1,119.0,115.2,1
39,2,9556,1,130.0,100.0,1
1,2,9670,1,135.0,121.4,2
44,1,9070,39,120.0,120.0,1
17,2,9070,1,126.0,129.9,2
1,1,171,1,149.0,151.1,2
39,1,9003,1,110.0,120.0,1
39,1,9003,1,133.1,130.0,1
16,2,9500,1,127.0,119.0,2
42,1,9773,6,120.0,122.0,2
16,6,9773,1,136.0,129.7,2
43,2,9238,1,110.0,112.5,2
1,1,9500,1,136.0,136.0,2
1,3,9773,1,145.0,133.1,2
1,2,9773,1,159.0,151.3,2
39,1,171,1,147.0,133.3,1
43,1,9500,1,150.0,130.8,2
7,1,8014,3,140.0,140.0,1
42,1,9085,39,150.0,150.0,2
44,1,9991,39,130.0,130.0,1
17,1,9773,1,120.0,125.3,2
43,1,9070,39,130.0,124.0,2
1,1,9254,1,112.0,113.8,3
17,1,9670,1,128.0,124.4,2
17,1,9147,1,114.0,107.7,1
43,2,9238,1,118.0,110.0,2
7,1,9500,3,130.0,130.0,2
1,2,9500,1,145.0,138.8,2
1,2,9147,1,121.0,126.3,1
1,3,9500,1,114.0,114.5,2
1,4,9670,1,127.0,116.5,1
17,2,9238,1,145.0,128.6,2
17,5,9238,1,130.0,130.0,3
1,1,171,1,150.0,134.6,1
1,1,9853,1,145.0,146.8,2
1,1,9085,1,128.0,135.7,2
39,1,9991,1,140.0,120.0,1
39,1,8014,1,130.0,138.0,2
39,1,9500,1,140.0,135.5,1
15,1,9773,1,120.0,120.0,2
39,1,9991,1,147.0,111.7,1
39,1,8014,9,133.1,100.0,1
44,1,9003,39,160.0,160.0,2
39,1,8014,1,133.1,114.8,2
39,1,8014,19,140.0,131.0,2
39,1,8014,1,133.1,97.0,2
17,6,9238,1,131.0,131.7,1
39,1,9500,19,133.1,120.0,1
39,1,9991,1,120.0,110.0,3
39,1,9500,1,130.0,133.0,2
7,1,9085,3,140.0,140.0,1
39,1,8014,1,133.1,100.0,3
39,1,9085,1,140.0,129.3,3
1,1,9238,1,133.1,137.0,1
1,5,9147,1,125.0,122.2,3
1,1,9853,1,115.0,108.0,2
7,1,9670,3,110.0,110.0,2
39,1,9147,1,140.0,127.7,1
39,1,9500,1,100.0,121.3,3
1,3,171,1,145.0,140.1,2
39,1,9500,19,133.1,114.8,1
44,1,9991,39,150.0,150.0,3
1,1,9773,1,145.0,131.7,3
39,1,8014,19,133.1,110.0,1
1,3,9773,1,110.0,105.5,2
1,1,9238,1,128.0,127.3,2
39,1,9238,19,133.1,130.0,3
7,1,9085,3,130.0,130.0,1
16,1,9556,1,137.0,122.7,2
17,2,9254,1,123.0,113.9,2
1,1,9147,1,156.0,151.1,2
17,2,9773,1,133.1,125.8,1
43,1,9670,1,100.0,128.2,2
39,1,9147,1,140.0,135.1,1
39,1,9991,1,130.0,120.2,2
39,1,9991,1,133.1,132.8,1
44,1,9003,39,140.0,140.0,2
18,5,9500,1,137.0,129.3,1
42,1,9119,1,120.0,108.2,1
17,4,9670,1,125.0,125.4,1
17,1,9773,1,130.0,140.2,2
1,3,9773,1,115.0,116.1,2
1,1,9147,1,150.0,137.8,2
1,3,9670,1,134.0,128.4,1
39,1,9670,1,120.0,106.0,1
43,1,9147,1,141.0,130.2,2
1,1,9130,1,133.0,126.0,2
1,2,9119,1,149.0,141.0,3
1,1,9773,1,121.0,113.0,2
44,1,9003,39,120.0,120.0,2
39,1,9991,1,148.0,130.9,1
39,1,9003,12,133.1,120.0,1
39,1,9991,1,135.0,134.1,1
39,1,9119,1,150.0,120.0,3
43,1,9670,1,130.0,114.8,2
42,1,9147,1,133.1,123.0,1
39,2,9119,19,133.1,118.0,1
43,1,9853,1,110.0,100.0,2
39,1,9991,1,170.0,151.1,2
17,3,9119,1,120.0,116.9,3
39,1,9500,19,133.1,106.0,2
1,1,9085,1,139.0,127.1,2
39,1,9991,19,133.1,155.5,1
18,1,9003,1,133.1,101.0,2
42,1,9119,6,120.0,128.2,1
39,1,9991,1,100.0,113.0,3
1,1,9773,1,134.0,122.8,2
39,1,9991,1,130.0,145.6,3
1,1,9147,1,128.0,116.5,1
1,1,9500,1,154.0,142.0,2
7,1,9003,4,150.0,150.0,2
17,1,9070,1,134.0,133.3,1
1,1,9238,1,127.0,115.8,1
17,2,9085,1,133.1,100.0,1
17,1,9500,1,130.0,128.6,2
1,1,9130,1,135.0,137.1,2
1,1,9773,1,143.0,149.0,1
44,2,9238,39,150.0,147.0,2
7,1,9238,3,150.0,150.0,2
39,1,8014,1,130.0,103.5,2
1,3,9500,1,113.0,107.8,3
44,1,9085,39,130.0,130.0,3
17,1,9254,1,115.0,109.4,2
1,3,9070,1,146.0,143.6,1
17,3,9070,1,132.0,124.3,1
1,5,9670,1,116.0,119.5,1
1,1,171,1,163.0,175.6,2
17,2,9147,1,122.0,116.1,2
17,2,9238,1,136.0,126.6,1
17,1,9085,1,142.0,130.8,2
17,6,9500,1,139.0,133.5,2
53,1,9238,42,140.0,136.9,2
1,1,9500,1,165.0,142.3,2
17,3,9670,1,122.0,114.3,2
1,2,9500,1,135.0,122.9,2
17,1,9500,1,128.0,117.2,2
17,1,9147,1,139.0,152.0,2
1,2,9773,1,125.0,122.2,1
18,2,9147,1,102.0,101.7,2
17,1,9254,1,116.0,119.9,2
17,1,9147,1,138.0,123.7,1
51,1,9070,1,135.0,121.8,2
17,4,9670,1,110.0,106.1,1
17,3,9773,1,132.0,124.3,2
1,2,9500,1,126.0,124.3,2
44,1,9147,39,117.4,117.4,2
43,2,9500,1,120.0,112.7,2
17,1,9070,1,116.0,123.7,2
18,2,9853,1,111.0,105.8,2
17,3,9085,1,128.0,124.2,1
1,1,9085,1,123.0,122.3,2
1,5,9254,1,131.0,123.7,2
17,2,9500,1,135.0,129.8,2
1,4,9500,1,136.0,123.8,2
1,2,9147,1,132.0,126.4,2
1,1,9853,1,120.0,115.1,3
1,1,9773,1,144.0,138.4,2
17,1,9085,1,129.0,118.2,2
17,1,9070,1,136.0,121.7,1
1,3,9070,1,125.0,118.0,3
17,1,9238,1,125.0,119.8,1
1,1,9238,1,154.0,164.9,2
42,1,9085,1,100.0,100.0,2
1,1,9853,1,124.0,121.6,3
17,4,9070,1,126.0,120.4,2
18,6,9500,1,124.0,117.8,2
43,1,9670,1,150.0,110.0,2
1,6,9500,1,133.0,128.8,2
1,5,9254,1,126.0,116.6,2
7,1,9991,40,120.0,120.0,1
1,3,9773,1,175.0,157.5,1
1,6,9500,1,141.0,136.3,2
1,1,9500,1,133.0,121.5,2
1,1,9500,1,143.0,133.9,2
1,1,171,1,141.0,136.8,2
17,2,9500,1,134.0,133.5,2
17,3,9500,1,138.0,130.0,1
44,1,9085,39,140.0,140.0,2
1,2,9500,1,142.0,132.7,2
1,1,9500,1,118.0,117.8,2
1,2,9500,1,131.0,126.1,1
1,1,9500,1,130.0,120.0,2
39,1,9670,12,133.1,100.0,1
1,1,9500,1,130.0,116.8,2
53,1,9238,42,130.0,128.3,1
1,1,9070,1,133.1,117.0,1
39,1,8014,1,130.0,131.5,2
1,1,9500,1,149.0,134.8,2
1,1,9853,1,163.0,146.6,3
7,1,8014,40,130.0,130.0,1
1,6,9500,1,145.0,127.5,2
1,1,9147,1,130.0,123.0,2
43,1,9500,1,128.0,100.0,2
1,2,9670,1,111.0,114.2,2
1,1,9500,1,140.0,123.5,2
44,1,9238,39,140.0,144.3,2
1,1,9853,1,145.0,142.2,3
1,1,9085,1,151.0,161.9,2
1,1,9238,1,132.0,135.9,2
1,2,9773,1,116.0,110.1,2
2,1,9853,1,120.0,122.5,1
17,1,9254,1,158.0,138.1,1
43,1,171,1,116.0,117.3,1
1,2,9500,1,112.0,106.8,2
1,1,9070,1,126.0,120.1,2
1,2,9254,1,120.0,116.5,2
51,1,9070,1,117.0,120.0,3
1,1,9853,1,153.0,139.7,2
1,2,9070,1,124.0,123.7,2
17,2,9130,1,127.0,116.5,1
17,1,9670,1,126.0,122.2,2
1,1,9773,1,133.1,146.0,2
17,2,9853,1,114.0,108.8,3
43,1,171,1,133.0,133.0,3
17,1,9130,1,130.0,123.8,2
17,3,9773,1,127.0,120.0,1
17,3,9238,1,143.0,126.9,2
18,4,9773,1,130.0,121.3,1
17,3,9500,1,136.0,129.0,2
1,1,9853,1,125.0,114.9,1
17,1,9670,3,110.0,106.5,1
1,1,9254,1,130.0,133.9,2
1,1,9773,1,135.0,124.9,2
1,2,9500,1,133.0,128.5,2
1,1,9085,6,122.0,126.2,1
17,1,9130,1,122.0,121.7,1
1,2,9853,1,121.0,120.0,3
43,1,9147,1,123.0,113.2,3
1,1,9238,1,128.0,120.3,2
1,4,171,1,139.0,127.8,1
1,2,9500,1,124.0,123.3,1
1,3,9500,1,135.0,126.3,2
51,1,9991,42,110.0,128.2,1
17,4,9085,1,138.0,134.9,2
44,1,9003,39,140.0,140.0,2
1,5,9500,1,126.0,115.5,2
1,2,9500,1,113.0,106.7,3
39,1,9991,1,120.0,140.0,3
1,1,9500,1,145.0,136.6,2
18,1,9500,1,124.0,119.3,2
1,1,9070,1,160.0,152.0,1
1,1,9500,1,138.0,144.3,2
39,2,9556,1,130.0,159.0,3
17,1,9500,1,127.0,129.5,2
39,1,9238,1,170.0,140.0,3
1,3,9670,1,111.0,105.4,2
42,1,9500,1,100.0,136.0,2
44,1,9003,39,160.0,160.0,2
1,1,9773,1,152.0,139.1,2
1,2,9670,1,144.0,126.9,2
39,1,9500,3,133.8,184.0,2
1,1,9238,1,125.0,125.0,2
1,1,9147,1,150.0,138.5,2
17,5,9500,1,143.0,133.5,2
1,3,9500,1,145.0,141.5,2
42,1,9500,1,120.0,130.0,2
1,1,9147,1,138.0,131.0,3
1,1,9500,1,145.0,145.0,2
17,1,9254,1,122.0,114.3,1
44,1,171,39,110.0,108.3,1
1,3,9070,1,136.0,125.2,2
1,1,9254,1,145.0,131.7,1
17,4,9500,1,141.0,126.3,2
1,1,9085,1,149.0,147.6,2
1,6,9500,1,130.0,125.1,2
17,6,9147,1,121.0,123.8,3
1,1,9670,1,128.0,130.8,1
1,1,9853,1,152.0,154.1,2
16,2,9147,1,132.0,122.6,3
1,2,8014,1,107.0,103.5,2
1,1,171,1,131.0,132.8,3
51,1,9991,1,141.0,100.0,2
18,2,9853,1,120.0,115.8,3
1,1,9500,1,148.0,133.8,2
1,1,9070,1,130.0,118.5,2
17,1,171,1,145.0,150.3,1
17,3,9147,1,112.0,107.8,3
1,1,9500,1,138.0,127.5,3
1,3,9500,1,135.0,120.5,2
1,1,9147,1,118.0,117.3,3
17,1,9254,1,123.0,120.6,1
16,4,9254,1,126.0,118.7,2
1,2,9773,1,150.0,130.8,2
1,1,9147,1,121.0,112.6,2
39,1,9991,19,133.1,117.2,2
7,1,9500,40,130.0,130.0,3
17,3,9500,1,139.0,131.8,2
39,1,8014,1,160.0,97.0,2
39,1,9500,1,110.0,130.0,1
39,1,8014,40,140.0,148.0,2
39,2,9147,3,130.0,103.4,1
43,2,9773,1,132.0,127.1,2
17,2,9773,1,139.0,124.0,1
1,1,9670,1,135.0,121.4,2
1,1,9147,1,117.0,118.1,2
17,4,9500,1,137.0,121.3,2
42,1,9119,1,144.0,119.5,1
39,1,9991,1,130.0,115.2,3
18,1,9670,1,140.0,130.2,2
17,4,9254,1,130.0,130.0,1
16,2,9238,1,130.0,126.9,2
1,2,9070,1,152.0,168.5,2
39,1,9500,1,133.1,130.0,1
18,1,9556,1,140.0,122.8,2
39,1,9500,1,133.1,110.0,1
16,1,9085,1,140.0,127.1,2
1,3,9500,1,133.1,108.5,2
53,1,9085,42,140.0,138.2,1
1,2,9500,1,133.1,96.0,3
1,1,9238,1,135.0,124.5,2
7,1,9500,3,120.0,120.0,3
17,1,9147,1,140.0,132.3,1
17,1,9254,1,128.0,120.7,2
1,1,9670,1,141.0,132.6,2
7,2,9130,3,140.0,140.0,1
1,6,9500,1,139.0,124.5,2
1,1,171,1,142.0,142.0,2
7,1,9254,40,130.0,130.0,2
39,1,9003,1,130.0,144.0,2
17,1,9853,1,125.0,128.5,3
7,1,9070,3,140.0,140.0,1
42,1,9853,1,120.0,113.9,1
1,1,9238,1,147.0,137.2,2
7,1,9085,40,140.0,140.0,2
1,1,9130,1,161.0,152.3,2
39,1,8014,19,133.1,112.5,2
39,2,9147,1,150.0,101.0,1
1,6,9238,1,113.0,112.3,2
39,1,9238,1,140.0,114.0,1
7,1,9147,3,130.0,130.0,2
43,2,9500,1,120.0,121.5,2
39,1,9003,19,133.1,120.0,3
7,1,8014,3,130.0,130.0,1
39,1,9003,1,120.0,125.7,1
43,1,9556,1,140.0,128.0,1
17,1,9238,1,123.0,113.2,3
39,1,9500,19,133.1,120.0,2
1,1,9670,1,130.0,117.8,2
1,4,9500,1,126.0,121.3,3
1,1,9500,1,176.0,169.7,2
17,4,9238,1,124.0,117.7,2
44,1,8014,39,120.0,121.8,2
1,2,9500,1,140.0,128.3,2
18,2,9147,1,143.0,132.2,2
1,2,171,1,136.0,134.3,1
1,1,9500,1,132.0,123.4,2
39,1,9991,19,133.1,121.7,1
39,1,8014,19,100.0,130.0,2
1,3,9500,1,137.0,126.5,2
17,1,9238,1,153.0,159.7,2
1,1,9147,1,160.0,151.3,2
17,1,9238,1,145.0,138.0,2
1,5,9500,1,137.0,126.5,2
53,1,9085,42,140.0,140.0,3
1,1,9238,1,120.0,112.3,2
1,1,9238,1,122.0,127.3,2
7,1,9500,3,130.0,130.0,2
17,2,9773,1,133.1,115.0,2
17,6,9500,1,150.0,131.5,2
39,1,9991,1,133.1,125.7,1
1,6,9500,1,141.0,126.8,2
18,1,9119,1,146.0,132.4,1
44,1,9003,39,150.0,150.0,2
1,1,9670,1,133.1,95.0,1
43,1,9991,1,120.0,128.2,1
39,1,9130,1,150.0,130.0,1
39,1,9119,19,133.1,100.0,3
42,1,9085,39,140.0,159.9,2
43,1,9991,1,140.0,100.0,1
39,1,9853,1,133.1,116.5,1
1,1,9238,1,128.0,120.0,2
1,3,9238,1,117.0,117.0,1
53,1,9670,42,140.0,140.0,3
1,2,9853,1,124.0,118.1,1
1,1,9254,1,158.0,153.5,2
43,1,9773,1,137.0,127.9,2
17,3,9670,1,123.0,118.8,2
1,1,9238,1,126.0,126.7,2
43,1,9085,1,170.0,170.0,3
39,1,9130,1,133.1,110.0,1
17,1,9238,1,115.0,115.0,2
1,3,9556,1,132.0,119.0,2
1,4,9500,1,132.0,121.8,2
1,1,9085,1,143.0,133.4,2
1,3,9238,1,137.0,131.4,2
42,1,9119,1,130.0,135.0,1
1,2,9773,1,121.0,122.8,1
39,1,9853,1,130.0,140.0,2
18,2,9500,1,135.0,125.3,2
1,6,9500,1,137.0,126.3,2
1,1,9670,1,100.0,100.0,2
17,2,9500,1,127.0,121.3,2
53,1,9991,1,140.0,135.0,3
39,1,9670,1,140.0,120.0,1
17,1,9773,1,121.0,113.7,3
43,1,9147,1,131.0,129.7,2
1,1,9147,1,151.0,132.1,1
51,1,9853,1,130.0,120.3,1
7,1,9991,40,120.0,120.0,2
17,2,9254,1,136.0,123.1,2
17,5,9670,1,125.0,119.4,2
39,1,9147,1,133.1,140.0,1
39,1,8014,1,133.1,116.5,3
17,1,9238,1,120.0,113.0,2
1,3,9773,1,143.0,133.9,2
1,3,9500,1,133.1,115.5,2
17,5,9254,1,121.0,116.5,1
1,1,9119,1,168.0,171.2,2
1,1,9670,1,124.0,119.1,2
17,2,9853,1,127.0,121.1,1
1,2,9070,1,129.0,132.9,3
1,1,9238,1,137.0,132.8,2
1,1,9773,1,120.0,126.7,2
1,1,9500,1,110.0,105.8,2
17,2,9119,1,120.0,117.2,3
1,1,9500,1,143.0,140.0,2
44,1,9003,39,120.0,120.0,1
17,5,9119,1,124.0,119.5,2
39,1,9003,1,168.0,153.9,1
39,1,8014,19,133.1,130.0,1
39,2,9670,1,150.0,107.0,1
39,1,9500,1,140.0,132.8,1
1,1,9991,1,145.0,127.5,2
18,1,9254,1,118.0,123.3,3
17,1,9147,1,123.0,122.0,1
1,5,9254,1,120.0,114.8,1
44,1,171,39,140.0,140.0,2
51,1,9670,1,126.0,111.0,2
1,2,9773,1,137.0,133.2,2
1,3,9773,1,130.0,123.0,2
53,1,9003,42,150.0,150.0,2
17,3,9147,1,147.0,132.3,2
18,1,9500,1,140.0,126.0,2
1,3,9500,1,132.0,119.3,2
53,1,9147,42,130.0,133.8,2
1,1,9085,1,130.0,126.5,2
1,1,9773,1,151.0,138.4,2
1,4,9500,1,144.0,129.0,1
1,1,9670,1,127.0,118.3,3
17,2,9500,1,131.0,129.8,2
17,2,9085,1,123.0,113.6,3
1,5,9773,1,130.0,128.3,1
43,1,9254,1,130.0,130.0,1
17,2,9853,1,131.0,121.9,2
1,5,9238,3,135.0,129.4,2
1,2,9853,1,123.0,115.3,3
1,5,9500,1,145.0,125.5,2
17,6,9556,1,118.0,117.8,2
17,3,9147,1,125.0,118.7,3
1,2,9500,1,152.0,139.0,2
1,1,9085,1,101.0,98.9,3
17,1,9254,1,137.0,137.7,1
1,4,9500,1,123.0,113.6,2
1,1,9085,1,120.0,113.4,3
17,3,9556,1,131.0,128.5,2
1,1,9500,1,141.0,142.8,2
1,1,9130,1,144.0,137.7,1
1,1,9238,1,107.0,103.5,3
1,1,9500,1,133.0,123.2,2
17,2,9853,1,126.0,126.0,3
39,1,9500,1,133.1,121.7,3
17,1,9147,1,147.0,142.8,3
43,1,9130,1,120.0,120.0,1
18,1,9500,1,130.0,119.3,2
44,1,9238,1,120.0,121.0,2
1,5,9773,1,138.0,139.4,2
17,1,9085,1,124.0,113.9,2
1,1,9853,1,133.0,124.6,2
17,1,9070,1,122.0,123.8,1
1,3,9085,1,138.0,126.3,2
17,4,9773,1,134.0,120.4,2
1,3,9500,1,128.0,120.5,3
53,1,9085,42,140.0,144.9,3
39,1,9085,19,133.1,139.9,2
1,1,171,1,142.0,133.3,2
1,3,9500,1,141.0,126.0,2
1,2,9070,1,145.0,133.5,2
17,2,9853,1,145.0,127.9,1
1,1,9238,1,108.0,105.9,3
1,1,9085,1,132.0,124.3,3
39,1,9773,1,140.0,102.5,1
39,1,9254,19,133.1,97.0,1
17,1,171,1,128.0,134.7,1
42,1,9119,1,120.0,113.8,1
1,4,9119,1,120.0,116.9,1
1,4,9500,1,139.0,124.0,2
39,1,9070,1,139.3,117.5,1
44,1,171,39,150.0,154.8,2
1,1,9500,1,138.0,141.0,2
39,1,9670,9,133.1,120.0,1
51,1,9119,1,136.0,133.6,1
1,6,9500,1,134.0,122.0,2
1,1,9147,1,140.0,120.0,1
53,1,9670,42,110.0,114.2,2
39,1,8014,38,133.1,95.5,2
1,1,9500,1,129.0,120.0,2
1,1,9238,1,116.0,111.1,2
1,1,9773,1,130.0,128.6,2
7,1,9556,3,130.0,130.0,1
1,1,171,1,116.0,111.1,1
17,1,9147,1,136.0,122.7,3
1,1,171,1,147.0,134.4,2
1,5,9070,1,117.0,131.0,1
51,1,9238,1,141.0,125.0,1
18,1,9556,1,133.1,106.0,2
39,1,9500,1,133.1,128.0,1
7,1,9003,3,120.0,120.0,2
1,1,9500,1,148.0,134.8,2
39,1,9070,1,130.0,112.0,2
1,1,9130,1,120.0,116.1,1
43,1,9130,1,120.0,120.0,1
1,3,9147,1,133.0,119.7,2
17,6,9119,1,129.0,117.1,1
1,2,9085,1,118.0,112.4,3
1,2,9500,1,140.0,131.0,2
1,2,9254,1,127.0,130.9,2
1,1,171,1,131.0,134.9,1
17,1,9238,1,132.0,127.1,2
17,5,9773,1,113.0,110.2,2
17,1,9254,1,115.0,108.7,2
1,1,9130,1,133.1,138.0,3
44,1,9070,39,150.0,147.7,2
39,1,9556,19,133.1,123.0,2
17,1,9853,1,141.0,142.8,2
1,2,171,1,140.0,138.3,3
1,2,9254,1,136.0,125.2,2
1,1,9085,1,140.0,141.8,2
17,5,9500,1,143.0,130.6,2
44,1,9147,39,130.0,130.0,1
15,1,9119,1,133.1,100.0,1
18,2,9500,1,129.0,119.0,2
1,2,9773,1,132.0,124.3,3
17,1,9254,1,118.0,122.2,1
15,1,9147,1,150.0,150.0,2
39,1,8014,19,133.1,135.5,1
16,2,9238,1,122.0,127.3,2
43,1,9670,1,127.0,127.0,2
1,2,9773,1,122.0,126.9,3
18,3,9500,1,131.0,127.5,2
1,2,9085,1,130.0,122.0,2
17,5,9085,1,130.0,115.8,1
17,1,9670,1,130.0,121.6,2
17,4,9147,1,122.0,116.4,2
39,1,9130,1,114.0,120.0,1
17,4,9853,1,143.0,127.3,1
1,3,9147,1,127.0,123.5,3
17,3,9238,1,141.0,125.6,2
1,1,9254,1,129.0,118.5,2
1,2,9130,1,140.0,129.5,3
1,1,171,1,137.0,134.6,2
44,1,9085,1,140.0,140.0,2
1,1,9254,1,143.0,133.2,3
17,1,9238,1,138.0,133.5,3
17,1,9773,1,120.0,117.9,2
1,3,9500,1,144.0,128.0,2
1,5,9853,1,123.0,113.2,1
1,3,9254,1,129.0,122.0,3
16,3,9070,1,152.0,156.9,2
1,2,9500,1,130.0,125.1,3
15,1,9147,1,133.1,100.0,1
15,1,9119,1,160.0,160.0,3
39,1,8014,1,140.0,101.0,2
18,1,9670,1,133.0,121.5,2
1,1,9085,1,138.0,126.8,2
1,5,9670,1,142.0,132.9,2
1,1,171,1,115.0,134.3,2
17,6,9254,1,125.0,120.5,2
17,1,9003,1,170.0,144.1,1
43,1,9991,1,140.0,100.0,2
1,2,9254,1,110.0,114.8,1
1,1,171,1,114.0,111.9,1
17,3,9119,1,138.0,125.4,1
44,1,9003,39,140.0,140.0,1
44,1,9070,39,140.0,140.0,2
17,1,9130,1,132.0,127.8,1
1,1,9003,1,148.0,131.6,2
1,1,171,1,132.0,119.4,1
18,2,9238,1,126.0,129.9,2
1,1,9119,1,121.0,114.0,3
1,2,9147,1,120.0,113.4,1
1,1,9147,1,123.0,117.8,3
1,6,9500,1,122.0,114.3,3
1,1,9670,1,136.0,129.7,3
18,1,9147,1,119.0,112.0,1
39,1,9670,1,120.0,140.0,1
44,1,9003,39,150.0,150.0,2
1,3,9670,1,121.0,122.4,3
51,1,9119,1,140.0,150.0,1
17,2,9254,1,135.0,135.0,3
43,4,8014,1,116.0,116.2,2
17,2,9119,1,120.0,120.4,1
17,5,9119,1,126.0,122.9,3
1,1,9773,1,170.0,155.0,2
